dimension,block_size,failures,mode,rw_ratio,read_user,read_proc,read_wall,write_user,write_proc,write_wall
6,2048,3,l,0.5,1.15529e+08,7.96793e+07,7.95996e+07,1.15766e+08,7.98425e+07,7.97626e+07
6,2048,3,l,0.9,1.83912e+07,1.82071e+07,1.81889e+07,1.65804e+08,1.64144e+08,1.6398e+08
6,2048,3,r,0.1,2.93527e+08,2.91468e+08,2.90885e+08,3.26217e+07,3.23929e+07,3.23281e+07
6,2048,3,r,0.5,9.54069e+07,9.42609e+07,9.41666e+07,9.49461e+07,9.38056e+07,9.37118e+07
6,2048,3,r,0.9,1.34977e+07,1.3376e+07,1.33493e+07,1.21508e+08,1.20412e+08,1.20171e+08
6,4096,0,l,0.1,6.47383e+09,6.30534e+09,6.29904e+09,7.19385e+08,7.00662e+08,6.99962e+08
6,4096,0,l,0.5,1.65447e+09,1.61141e+09,1.6098e+09,1.65404e+09,1.611e+09,1.60939e+09
6,4096,0,l,0.9,2.26616e+08,2.20491e+08,2.20271e+08,2.03951e+09,1.98439e+09,1.98241e+09
6,4096,0,r,0.1,4.74599e+09,4.5843e+09,4.57513e+09,5.2701e+08,5.09056e+08,5.08038e+08
6,4096,0,r,0.5,9.86271e+08,9.56624e+08,9.5471e+08,9.8628e+08,9.56632e+08,9.54719e+08
6,4096,0,r,0.9,1.22165e+08,1.17885e+08,1.17767e+08,1.09773e+09,1.05927e+09,1.05821e+09
6,4096,1,l,0.1,3.66143e+09,3.56614e+09,3.56257e+09,4.06937e+08,3.96346e+08,3.9595e+08
6,4096,1,l,0.5,7.49314e+08,7.32062e+08,7.3133e+08,7.48484e+08,7.31252e+08,7.30521e+08
6,4096,1,l,0.9,9.29033e+07,9.08574e+07,9.07665e+07,8.39386e+08,8.20901e+08,8.2008e+08
6,4096,1,r,0.1,2.49526e+09,2.42275e+09,2.41791e+09,2.76699e+08,2.68659e+08,2.68122e+08
6,4096,1,r,0.5,4.77588e+08,4.63246e+08,4.62783e+08,4.78179e+08,4.63819e+08,4.63355e+08
